id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830531,701B,2236,6,FALSE,now(),now(),TRUE,18171
1830532,803B,2235,6,FALSE,now(),now(),TRUE,18027
1830533,809A,2235,6,FALSE,now(),now(),TRUE,18032
1830534,805B,2235,6,FALSE,now(),now(),TRUE,18046
1830535,804B,2235,6,FALSE,now(),now(),TRUE,18047
1830536,802B,2235,6,FALSE,now(),now(),TRUE,18056
1830537,808A,2235,6,FALSE,now(),now(),TRUE,18057
1830538,806B,2235,6,FALSE,now(),now(),TRUE,18070
1830539,809B,2235,6,FALSE,now(),now(),TRUE,18091
1830540,801B,2235,6,FALSE,now(),now(),TRUE,18092
1830541,804A,2235,6,FALSE,now(),now(),TRUE,18096
1830542,803A,2235,6,FALSE,now(),now(),TRUE,18121
1830543,802A,2235,6,FALSE,now(),now(),TRUE,18128
1830544,807B,2235,6,FALSE,now(),now(),TRUE,18132
1830545,807A,2235,6,FALSE,now(),now(),TRUE,18138
1830546,805A,2235,6,FALSE,now(),now(),TRUE,18148
1830547,801A,2235,6,FALSE,now(),now(),TRUE,18166
1830548,806A,2235,6,FALSE,now(),now(),TRUE,18167
1830549,808B,2235,6,FALSE,now(),now(),TRUE,18168
1830550,128D,2233,6,FALSE,now(),now(),TRUE,18028
1830551,123A,2233,6,FALSE,now(),now(),TRUE,18044
1830552,127D,2233,6,FALSE,now(),now(),TRUE,18074
1830553,124A,2233,6,FALSE,now(),now(),TRUE,18076
1830554,121B,2233,6,FALSE,now(),now(),TRUE,18078
1830555,126D,2233,6,FALSE,now(),now(),TRUE,18086
1830556,123B,2233,6,FALSE,now(),now(),TRUE,18098
1830557,121A,2233,6,FALSE,now(),now(),TRUE,18101
1830558,124B,2233,6,FALSE,now(),now(),TRUE,18108
1830559,122A,2233,6,FALSE,now(),now(),TRUE,18158
1830560,122B,2233,6,FALSE,now(),now(),TRUE,18159
1830561,125D,2233,6,FALSE,now(),now(),TRUE,18160
1830562,1002A,2396,6,FALSE,now(),now(),TRUE,18022
1830563,1008D,2396,6,FALSE,now(),now(),TRUE,18041
1830564,1009A,2396,6,FALSE,now(),now(),TRUE,18045
1830565,1003B,2396,6,FALSE,now(),now(),TRUE,18061
1830566,1006B,2396,6,FALSE,now(),now(),TRUE,18063
1830567,1007B,2396,6,FALSE,now(),now(),TRUE,18064
1830568,1006A,2396,6,FALSE,now(),now(),TRUE,18065
1830569,1004A,2396,6,FALSE,now(),now(),TRUE,18068
1830570,1005B,2396,6,FALSE,now(),now(),TRUE,18081
1830571,1005A,2396,6,FALSE,now(),now(),TRUE,18082
1830572,1009B,2396,6,FALSE,now(),now(),TRUE,18109
1830573,1003A,2396,6,FALSE,now(),now(),TRUE,18119
1830574,1004B,2396,6,FALSE,now(),now(),TRUE,18129
1830575,1002B,2396,6,FALSE,now(),now(),TRUE,18141
1830576,1007A,2396,6,FALSE,now(),now(),TRUE,18150
1830577,1010D,2396,6,FALSE,now(),now(),TRUE,18169
1830578,1001A,2396,6,FALSE,now(),now(),TRUE,18172
1830579,1001B,2396,6,FALSE,now(),now(),TRUE,18177
1830580,404A,2239,6,FALSE,now(),now(),TRUE,18033
1830581,406B,2239,6,FALSE,now(),now(),TRUE,18043
1830582,406A,2239,6,FALSE,now(),now(),TRUE,18050
1830583,401A,2239,6,FALSE,now(),now(),TRUE,18055
1830584,401B,2239,6,FALSE,now(),now(),TRUE,18060
1830585,405B,2239,6,FALSE,now(),now(),TRUE,18069
1830586,402D,2239,6,FALSE,now(),now(),TRUE,18077
1830587,405A,2239,6,FALSE,now(),now(),TRUE,18085
1830588,403A,2239,6,FALSE,now(),now(),TRUE,18099
1830589,403B,2239,6,FALSE,now(),now(),TRUE,18103
1830590,404B,2239,6,FALSE,now(),now(),TRUE,18123
1830591,1102B,2397,6,FALSE,now(),now(),TRUE,18018
1830592,1103A,2397,6,FALSE,now(),now(),TRUE,18058
1830593,1108B,2397,6,FALSE,now(),now(),TRUE,18071
1830594,1103B,2397,6,FALSE,now(),now(),TRUE,18088
1830595,1104D,2397,6,FALSE,now(),now(),TRUE,18117
1830596,1101A,2397,6,FALSE,now(),now(),TRUE,18130
1830597,1108A,2397,6,FALSE,now(),now(),TRUE,18135
1830598,1107B,2397,6,FALSE,now(),now(),TRUE,18136
1830599,1102A,2397,6,FALSE,now(),now(),TRUE,18139
1830600,1107A,2397,6,FALSE,now(),now(),TRUE,18146
1830601,1106B,2397,6,FALSE,now(),now(),TRUE,18149
1830602,1101B,2397,6,FALSE,now(),now(),TRUE,18151
1830603,1106A,2397,6,FALSE,now(),now(),TRUE,18152
1830604,1105B,2397,6,FALSE,now(),now(),TRUE,18170
1830605,1105A,2397,6,FALSE,now(),now(),TRUE,18175
