region_id,Region,area_id,Area,distributor_id,House,territory_id,Territory,point_id,Point,rds_point_id,Cluster_Id,Cluster_Name,rds_cluster_id,route_section_id,rds_route_id,point_cl_rt_iden,composite_rds_cluster_id,composite_rds_route_id
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,98554,Mazar,,18036,1830443,_423_18036_98554,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,147419,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_147419,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133052,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_133052,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,98440,Hatibandha Rail Station,,18036,1830443,_423_18036_98440,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,98554,Mazar,,18036,1830443,_423_18036_98554,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,147420,Hatibandha Dighirhat,,18036,1830443,_423_18036_147420,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133051,Hatibandha Rail Station,,18036,1830443,_423_18036_133051,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,147419,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_147419,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,98440,Hatibandha Rail Station,,18036,1830443,_423_18036_98440,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133052,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_133052,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133052,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_133052,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133052,Hatibandha Upazila Chattar,,18036,1830443,_423_18036_133052,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
7,Rajshahi,21,Rangpur,49,"Asiatic Distributions Limited, Lalmonirhat",94,Lalmonirhat,423,Hatibandha,2256,133049,Hatibandha Dighirhat,,18036,1830443,_423_18036_133049,,
