id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830686,New Bus Stand,1830449,7,FALSE,now(),now(),TRUE,133067
1830687,Kot Toli,1830449,7,FALSE,now(),now(),TRUE,97991
1830688,Patgram Shareo Bazar,1830449,7,FALSE,now(),now(),TRUE,98017
1830689,Chilar Bazar,1830449,7,FALSE,now(),now(),TRUE,147438
1830690,College More,1830449,7,FALSE,now(),now(),TRUE,67102
1830691,Mesirpar,1830449,7,FALSE,now(),now(),TRUE,97994
1830692,Burimari Petrol Pamp,1830450,7,FALSE,now(),now(),TRUE,97883
1830693,Burimari Ghunti Bazar,1830450,7,FALSE,now(),now(),TRUE,97881
1830694,Burimari Vitor Bazar,1830450,7,FALSE,now(),now(),TRUE,97885
1830695,Burimari Track Stand,1830450,7,FALSE,now(),now(),TRUE,97884
1830696,Burimari Vitor Bazar,1830450,7,FALSE,now(),now(),TRUE,133068
1830697,Burimari Petrol Pamp,1830450,7,FALSE,now(),now(),TRUE,133069
1830698,Burimari Ghater Par,1830450,7,FALSE,now(),now(),TRUE,97880
1830699,Burimari Track Stand,1830450,7,FALSE,now(),now(),TRUE,147442
1830700,Burimari Janota Bank,1830450,7,FALSE,now(),now(),TRUE,97882
1830701,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147399
1830702,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,97936
1830703,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,98528
1830704,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147398
1830705,Sharkarer Hat Kafir Bazar,1830451,7,FALSE,now(),now(),TRUE,98535
1830706,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,133044
1830707,Sharkarer Hat,1830451,7,FALSE,now(),now(),TRUE,147400
1830708,Alauddin Nagar,1830451,7,FALSE,now(),now(),TRUE,147401
1830709,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,147404
1830710,Sharkarer Hat Kafir Bazar,1830451,7,FALSE,now(),now(),TRUE,147405
1830711,Rail Get Sofirhat,1830451,7,FALSE,now(),now(),TRUE,133043
1830712,Alauddin Nagar,1830451,7,FALSE,now(),now(),TRUE,147403
1830713,Baura Kabarsthan,1830451,7,FALSE,now(),now(),TRUE,147402
1830714,Jonatarhat,1830451,7,FALSE,now(),now(),TRUE,147406
1830715,Patgram Station Road,1830452,7,FALSE,now(),now(),TRUE,97907
1830716,Patgram Rail Gate,1830452,7,FALSE,now(),now(),TRUE,97906
1830717,Patgram Rail Station,1830452,7,FALSE,now(),now(),TRUE,97982
1830718,Patgram Vitor Bazar,1830452,7,FALSE,now(),now(),TRUE,147431
1830719,Patgram Vitor Bazar,1830452,7,FALSE,now(),now(),TRUE,97910
1830720,Patgram Paschim Rail Gate,1830452,7,FALSE,now(),now(),TRUE,97981
1830721,Patgram Rail Station,1830452,7,FALSE,now(),now(),TRUE,133058
1830722,Patgram Station Road,1830452,7,FALSE,now(),now(),TRUE,147430
1830723,Patgram Puraton Bus Stand More,1830452,7,FALSE,now(),now(),TRUE,147429
1830724,Patgram Chourongi More,1830452,7,FALSE,now(),now(),TRUE,97904
1830725,Patgram Mosjid,1830452,7,FALSE,now(),now(),TRUE,97905
1830726,Patgram Puraton Bus Stand More,1830452,7,FALSE,now(),now(),TRUE,147432
1830727,Patgram Chourongi More,1830452,7,FALSE,now(),now(),TRUE,147433
1830728,Banger Bari,1830453,7,FALSE,now(),now(),TRUE,97939
1830729,Lolitar Hat,1830453,7,FALSE,now(),now(),TRUE,97945
1830730,Pan Bari,1830453,7,FALSE,now(),now(),TRUE,97946
1830731,Guscho Gram,1830453,7,FALSE,now(),now(),TRUE,97941
1830732,Hagigonj Notunhat,1830453,7,FALSE,now(),now(),TRUE,97942
1830733,Lolitar Hat,1830453,7,FALSE,now(),now(),TRUE,97944
1830734,Pan Bari,1830453,7,FALSE,now(),now(),TRUE,133061
1830735,Auliar Hat,1830454,7,FALSE,now(),now(),TRUE,97920
1830736,Kawya Mari Bazar,1830454,7,FALSE,now(),now(),TRUE,97932
1830737,Kathal Toli,1830454,7,FALSE,now(),now(),TRUE,97929
1830738,Patgram Anto Zila,1830454,7,FALSE,now(),now(),TRUE,147436
1830739,Moddho Islampur,1830454,7,FALSE,now(),now(),TRUE,97934
1830740,Patgram Anto Zila,1830454,7,FALSE,now(),now(),TRUE,97975
1830741,Kamlar Bazar,1830454,7,FALSE,now(),now(),TRUE,97927
1830742,Islampur,1830454,7,FALSE,now(),now(),TRUE,97924
1830743,Kathal Toli,1830454,7,FALSE,now(),now(),TRUE,45561
1830744,Patgram Anto Zila,1830454,7,FALSE,now(),now(),TRUE,147435
1830745,Fatur Bazar,1830455,7,FALSE,now(),now(),TRUE,98008
1830746,Ververirhat,1830455,7,FALSE,now(),now(),TRUE,97966
1830747,Daloyar Para,1830455,7,FALSE,now(),now(),TRUE,133059
1830748,Kalirhat,1830455,7,FALSE,now(),now(),TRUE,98020
1830749,Kosuabazar,1830455,7,FALSE,now(),now(),TRUE,98022
1830750,Tongting Danga,1830456,7,FALSE,now(),now(),TRUE,98033
1830751,Munsir Hat,1830456,7,FALSE,now(),now(),TRUE,98031
1830752,Kadur Bazar,1830456,7,FALSE,now(),now(),TRUE,97989
1830753,Kashir Danga,1830456,7,FALSE,now(),now(),TRUE,98011
1830754,Sohagpur,1830456,7,FALSE,now(),now(),TRUE,98032
1830755,Lal School,1830456,7,FALSE,now(),now(),TRUE,133060
1830756,Balapara Kutir Para,1830456,7,FALSE,now(),now(),TRUE,98025
1830757,Bottola Bajar,1830456,7,FALSE,now(),now(),TRUE,98026
1830758,Munsir Hat,1830456,7,FALSE,now(),now(),TRUE,147434
1830759,Masir Bazar,1830457,7,FALSE,now(),now(),TRUE,133063
1830760,Haziganj Bazar,1830457,7,FALSE,now(),now(),TRUE,133062
1830761,Rajarhat,1830457,7,FALSE,now(),now(),TRUE,45534
1830762,Burimari Beltoli,1830457,7,FALSE,now(),now(),TRUE,97878
1830763,Kamarer Hat,1830457,7,FALSE,now(),now(),TRUE,97955
1830764,Soner Vita Bazar,1830457,7,FALSE,now(),now(),TRUE,97965
1830765,Burimari Main Road,1830457,7,FALSE,now(),now(),TRUE,97950
1830766,Mosjider Par,1830457,7,FALSE,now(),now(),TRUE,97960
1830767,Rajarhat,1830457,7,FALSE,now(),now(),TRUE,97998
1830768,Burimari Beltoli,1830457,7,FALSE,now(),now(),TRUE,133066
1830769,Sahidul More,1830457,7,FALSE,now(),now(),TRUE,97963
1830770,Burimari Main Road,1830457,7,FALSE,now(),now(),TRUE,133064
1830771,Haziganj Bazar,1830457,7,FALSE,now(),now(),TRUE,147437
1830772,Medical More,1830457,7,FALSE,now(),now(),TRUE,133065
1830773,Sahidul More,1830457,7,FALSE,now(),now(),TRUE,97964
1830774,Khochabari bazar,1830458,7,FALSE,now(),now(),TRUE,148488
1830775,Khochabari,1830458,7,FALSE,now(),now(),TRUE,148485
1830776,Dadar Hat,1830458,7,FALSE,now(),now(),TRUE,148487
1830777,Kaligonj Bazar,1830458,7,FALSE,now(),now(),TRUE,6532
1830778,Kamar Para,1830458,7,FALSE,now(),now(),TRUE,67934
1830779,Kaligonj,1830458,7,FALSE,now(),now(),TRUE,48972
1830780,Khoger Hat,1830458,7,FALSE,now(),now(),TRUE,148489
1830781,Kaligonj vitor bazar,1830458,7,FALSE,now(),now(),TRUE,148486
1830782,Kaligonj vitor bazar,1830458,7,FALSE,now(),now(),TRUE,148490
1830783,Khochabari,1830458,7,FALSE,now(),now(),TRUE,148491
1830784,Kaligonj Bazar,1830458,7,FALSE,now(),now(),TRUE,65081
1830785,Laxmir Haat Bazar,1830459,7,FALSE,now(),now(),TRUE,148483
1830786,Aktar Mor,1830459,7,FALSE,now(),now(),TRUE,148482
1830787,Laxmir Haat Bazar,1830459,7,FALSE,now(),now(),TRUE,148479
1830788,Shantir Haat,1830459,7,FALSE,now(),now(),TRUE,82427
1830789,Aktar Mor,1830459,7,FALSE,now(),now(),TRUE,148484
1830790,Kalur Hat,1830459,7,FALSE,now(),now(),TRUE,148480
1830791,Laxmir Haat,1830459,7,FALSE,now(),now(),TRUE,148481
1830792,Laxmir Haat Chourasta,1830459,7,FALSE,now(),now(),TRUE,148478
1830793,Shantir Haat,1830459,7,FALSE,now(),now(),TRUE,82328
1830794,Vaulagonj,1830460,7,FALSE,now(),now(),TRUE,117864
1830795,Vaulagonj road,1830460,7,FALSE,now(),now(),TRUE,148493
1830796,Tokra Vasa,1830460,7,FALSE,now(),now(),TRUE,148492
1830797,Vaulagonj bazar,1830460,7,FALSE,now(),now(),TRUE,148494
1830798,Teprigonj,1830460,7,FALSE,now(),now(),TRUE,95546
1830799,Vaulagonj,1830460,7,FALSE,now(),now(),TRUE,148495
1830800,Golchottor,1830461,7,FALSE,now(),now(),TRUE,113459
1830801,LSD Road bazar,1830461,7,FALSE,now(),now(),TRUE,148497
1830802,LSD,1830461,7,FALSE,now(),now(),TRUE,148498
1830803,LSD Road bazar,1830461,7,FALSE,now(),now(),TRUE,148505
1830804,Vitor Bazar,1830461,7,FALSE,now(),now(),TRUE,47125
1830805,LSD Road,1830461,7,FALSE,now(),now(),TRUE,148502
1830806,LSD,1830461,7,FALSE,now(),now(),TRUE,148496
